battery,cycle,capacity,soh,rul
CS2_35,1,1.126384506847021,1.0239859153154736,1.0
CS2_35,2,1.1261598161259705,1.0237816510236095,0.9984375
CS2_35,3,1.125965708259707,1.0236051893270062,0.996875
CS2_35,4,1.1185076863180938,1.0168251693800852,0.9953125
CS2_35,5,1.1172100749182547,1.0156455226529588,0.99375
CS2_35,6,1.1137535513150445,1.0125032284682223,0.9921875
CS2_35,7,1.0988181436744804,0.9989255851586184,0.990625
CS2_35,8,1.096180326376592,0.9965275694332653,0.9890625
CS2_35,9,1.0898711301696573,0.9907919365178702,0.9875
CS2_35,10,1.0875822954661674,0.9887111776965157,0.9859375
CS2_35,11,1.0947478949707463,0.9952253590643148,0.984375
CS2_35,12,1.0955682863426888,0.9959711694024442,0.9828125
CS2_35,13,1.0954329180709088,0.9958481073371898,0.98125
CS2_35,14,1.095223222083344,0.9956574746212218,0.9796875
CS2_35,15,1.0948040555332583,0.9952764141211439,0.978125
CS2_35,16,1.0944448817959302,0.9949498925417547,0.9765625
CS2_35,17,1.0940442107208557,0.9945856461098687,0.975
CS2_35,18,1.0934614215105336,0.9940558377368487,0.9734375
CS2_35,19,1.0927332194072783,0.9933938358247983,0.971875
CS2_35,20,1.0888536787324268,0.9898669806658424,0.9703125
CS2_35,21,1.0883814134478704,0.989437648588973,0.96875
CS2_35,22,1.0879949624513223,0.989086329501202,0.9671875
CS2_35,23,1.0876290188457574,0.988753653496143,0.965625
CS2_35,24,1.0872335492167664,0.9883941356516057,0.9640625
CS2_35,25,1.086799750378054,0.9879997730709581,0.9625
CS2_35,26,1.086397688089526,0.987634261899569,0.9609375
CS2_35,27,1.0764608398671511,0.9786007635155919,0.959375
CS2_35,28,1.0682813219671374,0.971164838151943,0.9578125
CS2_35,29,1.061871030040747,0.9653373000370427,0.95625
CS2_35,30,1.060449954213002,0.9640454129209107,0.9546875
CS2_35,31,1.0590703515513098,0.9627912286830088,0.953125
CS2_35,32,1.068431631526196,0.9713014832056326,0.9515625
CS2_35,33,1.069764576241007,0.9725132511281882,0.95
CS2_35,34,1.0612467360899798,0.9647697600817997,0.9484375
CS2_35,35,1.0528038388294765,0.9570943989358877,0.946875
CS2_35,36,1.0514969839157156,0.9559063490142868,0.9453125
CS2_35,37,1.0507885373892558,0.9552623067175052,0.94375
CS2_35,38,1.049771042431389,0.9543373113012628,0.9421875
CS2_35,39,1.05916552576209,0.962877750692809,0.940625
CS2_35,40,1.0604562774048465,0.9640511612771331,0.9390625
CS2_35,41,1.057632133197537,0.9614837574523062,0.9375
CS2_35,42,1.0482737033997178,0.9529760939997434,0.9359375
CS2_35,43,1.043392804566336,0.9485389132421237,0.934375
CS2_35,44,1.042916763731058,0.9481061488464162,0.9328125
CS2_35,45,1.0420172556913927,0.9472884142649024,0.93125
CS2_35,46,1.0497244102947476,0.9542949184497704,0.9296875
CS2_35,47,1.0519062232518257,0.9562783847743869,0.928125
CS2_35,48,1.056326663309842,0.9602969666453108,0.9265625
CS2_35,49,1.0414672148233903,0.9467883771121729,0.925
CS2_35,50,1.0410028838709957,0.9463662580645414,0.9234375
CS2_35,51,1.0404851130044386,0.9458955572767622,0.921875
CS2_35,52,1.0392121440794764,0.9447383127995239,0.9203125
CS2_35,53,1.0869982407359575,0.9881802188508704,0.91875
CS2_35,54,1.0806073900944038,0.9823703546312761,0.9171875
CS2_35,55,1.08674940553732,0.9879540050339272,0.915625
CS2_35,56,1.086558905233767,0.9877808229397881,0.9140625
CS2_35,57,1.0774217859911135,0.9794743509010122,0.9125
CS2_35,58,1.0701682589269284,0.9728802353881166,0.9109375
CS2_35,59,1.06872401501102,0.9715672863736544,0.909375
CS2_35,60,1.0599737580294928,0.9636125072995388,0.9078125
CS2_35,61,1.0609021876744713,0.9644565342495193,0.90625
CS2_35,62,1.0596781797908184,0.9633437998098348,0.9046875
CS2_35,63,1.051177012969059,0.9556154663355081,0.903125
CS2_35,64,1.0501143867903668,0.954649442536697,0.9015625
CS2_35,65,1.0443456535569908,0.9494051395972644,0.9
CS2_35,66,1.0435796836723814,0.9487088033385285,0.8984375
CS2_35,67,1.041433869950444,0.9467580635913126,0.896875
CS2_35,68,1.0423264380827937,0.947569489166176,0.8953125
CS2_35,69,1.0419557832376922,0.9472325302160838,0.89375
CS2_35,70,1.034641962547191,0.9405836023156281,0.8921875
CS2_35,71,1.033443463109441,0.9394940573722189,0.890625
CS2_35,72,1.0329174497809583,0.9390158634372348,0.8890625
CS2_35,73,1.032427234234721,0.9385702129406553,0.8875
CS2_35,74,1.0256944892123414,0.932449535647583,0.8859375
CS2_35,75,1.0320833299509304,0.938257572682664,0.884375
CS2_35,76,1.0319108981369152,0.9381008164881046,0.8828125
CS2_35,77,1.0313844850644611,0.93762225914951,0.88125
CS2_35,78,1.030364005884403,0.9366945508040027,0.8796875
CS2_35,79,1.025377354176111,0.9321612310691918,0.878125
CS2_35,80,1.0253169236935855,0.9321062942668958,0.8765625
CS2_35,81,1.024726663592637,0.9315696941751246,0.875
CS2_35,82,1.0236789219894171,0.930617201808561,0.8734375
CS2_35,83,1.0230800493568315,0.930072772142574,0.871875
CS2_35,84,1.022644747838547,0.9296770434895881,0.8703125
CS2_35,85,1.022090350109911,0.9291730455544644,0.86875
CS2_35,86,1.0215154565915765,0.9286504150832513,0.8671875
CS2_35,87,1.0166036774510112,0.924185161319101,0.865625
CS2_35,88,1.0210170534761072,0.9281973213419156,0.8640625
CS2_35,89,1.0157504618642084,0.9234095107856439,0.8625
CS2_35,90,1.01513351153089,0.9228486468462636,0.8609375
CS2_35,91,1.0147884828970244,0.9225349844518402,0.859375
CS2_35,92,1.0055391697840463,0.9141265179854966,0.8578125
CS2_35,93,1.004114977866715,0.9128317980606501,0.85625
CS2_35,94,0.998737578636572,0.9079432533059745,0.8546875
CS2_35,95,0.9978437616368124,0.9071306923971021,0.853125
CS2_35,96,1.016196169483176,0.9238146995301599,0.8515625
CS2_35,97,1.0155185431841671,0.92319867562197,0.85
CS2_35,98,1.0142635942717386,0.9220578129743078,0.8484375
CS2_35,99,1.022954002532552,0.9299581841205018,0.846875
CS2_35,100,1.0230958794828395,0.9300871631662176,0.8453125
CS2_35,101,1.0136374509856283,0.9214885918051166,0.84375
CS2_35,102,1.0421101009645464,0.9473728190586784,0.8421875
CS2_35,103,1.0415623741167763,0.9468748855607056,0.840625
CS2_35,104,1.04968097005276,0.9542554273206909,0.8390625
CS2_35,105,1.0502189671304398,0.954744515573127,0.8375
CS2_35,106,1.0345139422619067,0.9404672202380969,0.8359375
CS2_35,107,1.0342058576064643,0.9401871432786039,0.834375
CS2_35,108,1.0346718461028606,0.9406107691844187,0.8328125
CS2_35,109,1.0333621484101558,0.9394201349183234,0.83125
CS2_35,110,1.0323499563117997,0.9384999602834542,0.8296875
CS2_35,111,1.041169381175602,0.9465176192505472,0.828125
CS2_35,112,1.041413811262639,0.9467398284205808,0.8265625
CS2_35,113,1.0316781253648284,0.9378892048771167,0.825
CS2_35,114,1.0251245508578273,0.931931409870752,0.8234375
CS2_35,115,1.023763200472524,0.9306938186113853,0.821875
